,index,artist,album,song,lyrics
2031,3284,Young Thug,Slime Season,No Way,"ain't no way for me to love you if you won't let me  it ain't no way for me to give you all you need if you won't let me give all of me  i know that a woman's duty is to help and love a man that's the way it was planned  oh, but how can i, how can i, how can i give you all the things i can, well ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2032,3285,Young Thug,Slime Season,Mine,"the look that haunts you the eyes that caught you the voice that stops you on a dime let it be mine the hands that fit you thee song that gets you the drink that makes you spill your mind let it be mine  if you need someone to call tonight a place to crash and let your body fall tonight if you're lookin' for a kiss to make it all alright if you're gonna cross the line if you're gonna take somebody's time let it be mine, let it be mine  the dream that steals you ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2033,3286,Young Thug,Slime Season,Freaky,"she sly like the deacon, she sly like the deacon yeah, thugger thugger baby, yeah uh, eh, i don't want to tease it, i really want freak it i'm michael, i beat it, i'm keepin' your secret i got more hoes than pleasers, the one that's on bleveland she pull up and freak it, she pull up and freak it i hop out the 'rari, i'm leaving it started she got just a harley and a skull just like hardy eh, you play with her garden, she smoke you like marley eh, now she be my darlin', yeah, she be my barbie i'm lovin' your patience, turned all in this race ooh, long as you don't play, motherfuck what you say hey, i'm on the third base and you away (that means i'm home) quan said, 'please have a phone', call it a day i got my ice out the lake, killed that boy by a mistake we eatin', where is your plate? aim at your head or your face? hannah montana, my nigga gon' cook everyday, yeah, they bake bitch, i been havin' them bricks and them bells, late i apologize if i got more money than you and your clan i apologize if i pull up in that new coupe wrapped in 'ran ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2034,3287,Young Thug,Slime Season,Be Me See Me,got me a check and went brazy i swear i done got me a check and went brazy all these lil niggas too lazy they don't want no check then they act like some babies pull up to the block and kill your old lady i'm traumatized traumatized this shit right here can't be televised nigga no way bro let me control it brother let me control it  how can i be from the a when i'm in love with a k? you can't just jump in the gate slow yo ass down nigga wait bitch i got 35 hundred 127 of them on the way check my status i'm a fly nigga clip up them fine hoes are waiters they waiting on young thugga they waiting on my brother they wait on my mother they suck me like suckers i swear i ride them like camels i ride with bananas got animal manners my spot having cameras i meant having bameras grabbing my cock i don't give a fuck i'm serving the cops liquor smelling like a bird on the block thugger pitch a nigga curve with the rock ...  ******* this lyrics is not for commercial use ******* (1409624953635)
2035,3288,Young Thug,Slime Season,Overdosin,"(thugger thugger) i rock water like a fuckin' whale drug got expenses like a fuckin' bill i like girls, i'm a fuckin' male nigga movin slower then a snail, watch me overdosin', overdosin', overdosin', overdosin' overdosin', overdosin' overdosin', overdosin', overdosin', overdosin' overdosin', overdosin' the walls are closin', i'm overdosin' i'm cookin' some fish, she put on some lotion i'm stackin' that money, i want it the oldest bitch i am a warrior, you know that it's in me i'm hangin' with players, you know that i'm pimpin' my son is suspended, can't ride in the bentley what's wrong these birds? these birds are trippin' ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2036,3289,Young Thug,Slime Season,Again (feat. Gucci Mane),"nigga, turn up it's guwop trap house (thugger), bunkin' trap house mansion yeah, right on flat shoals (you dig) exit, nigga (and bleveland) uh, turn up (we got london on da track, slatt)  i'm pourin' fours in shit, i need to just put a deuce in (drank) car cost four-hundred thou' and i put a roof in (skrrt) my nigga pot cook it so good, he put his shoe in it (skrrt) nigga, it's a gangster party, why fuck is you in it? (nigga) head buster microwave shit, didn't take him two minutes (gangster p) you know that there's some straps in the club, they let my crew in (squad)  i might just do the michael vick, man, and cook it left hand (ah) if you ain't talkin' 'bout buyin' grams, then i'm a deaf man (shh) i can make the dope do numbers, the stacey augmon i told my bitch to dye her hair red like dennis rodman (yeah) if gucci mane got so much money, then why he robbin'? we 30 deep, we cover the street, nigga, we mobbin' (yeah)  (it's guwop), again (say that again) thugger and guwop again (whoa, whoa) chasin' that guwop again (chasin') that's my lil' whoa again (sheesh) we chasin' that money, baby, again (yeah) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2037,3290,Young Thug,Slime Season,That's All,"i got me a k in this place baby, don't play in this place you can call me ace in this place ten thousand dollar vase in his face bring them racks out the safe go to church like mase put a mask on my face beat the case and buy a case and he dead  fuck a nigga bitch, that's all grabbin' on my dick, that's all stuntin' with my bitch, that's all standin' with my clique, that's all my cup gotta be muddy, that's all she tell me that she love me, that's all i wanna clean it with lysol (fresh)  she fuckin' all my buddies, that's all  she fuckin' all my buddies i might love fuckin' it, but i say can i love it? i might catch a nigga, bitch and fuck her right i crush her bitch, i am a monster, i know i am a lil' ugly i might pull up with all of my jewelry on my bus got a unique body, my clothes, get 'em from russia i might pull up and pimp that bitch just like a sucka [?] i fuck unless i got my mustard, ketchup, nigga nigga loaded pimpin' pill tight, game right i might eat it, i might beat it like mike ikes treat that pussy tempurpedic, and call it a night she compliment on my fly, and i ain't talking no flight and therefore i love her she make a nigga shine without using butter my partner in crime, she won't tell like her mother ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2038,3291,Young Thug,Slime Season,Udiggwhatimsayin,"you dig what i'm saying? if they all hundreds i'ma count it fast, yeah wanted money, i couldn't enjoy a class i'ma big old player, i got it from my dad, yeah lil' mama dig what i'm sayin keep it funky like an egg and you will never land all my niggas they don't play, they all want it bad my son a boss, he yellow be, the motherfucking man i go crazy, i go brazy for these fucking bands fuck a lady, i replace her for these fucking bands he so crazy, i'm not lazy, i want fucking bands yo  i'm a boss, fuck that bitch out on the balcony i might take a picture and tell 'em to caption this when i'm done fingering, i need a napkin and shit ocho cinco, yes sir i'm catching it catch it, catch catch it, catch it catch it catch it i'll take your necklace, i'll leave you neckless i might not be cussing but i ain't bluffing niggas want problems, it's not nothing i'm screaming bring it on like gabrielle i'ma real big dog, i don't kiss and tell, hell first you want it then second you pale, yeah ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2039,3292,Young Thug,Slime Season,Draw Down,"i know how to go and get a motherfucking check, no flex flawless and vv's all over my neck and my chest i'm a big dog baby mofucka a vet i don't get sucked unless i'm having sex hoes know ysl they real as it gets no giraffe but thugger want nothing but neck plus imma pull a draw down on all of them imma pull a draw down on all of them pull a draw down on all of them (quick draw mcgraw) imma pull a draw down on all of them nigga i'm gon draw down with my gun nigga you might be swept by my sword pussy nigga you's a rat and i'm tom every given sunday i got falcons  pull up with that k out of the coupe i like my bitch brown like her mother fucking boot i like that ass big like shaq tennis shoes and i want that wig mother fuck your hairdo  control that ho, no voodoo  i be thugger liu kang, ryu damn i don't wanna hit it again, achoo!  make a nigga go brazy, cuckoo drinking on that diesel like a pig  i don't talk to snitches, you can't tell me nothing i think i found my new favorite bitch i'm fucking with travis scott so you can't sell me nothing ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2040,3293,Young Thug,Slime Season,Wood Would,"(thugger, wheezy) (yeah, yeah, yeah) (ha!)  rastafari (huh), smoking on marley mama, i'm sorry, got it in order (yeah) ballin' like i'm spalding (yeah), bitch, i'm only startin' (yeah) blowing money, call it ballin', put some rims inside the water (skrrt) everything i say, i do it, hawks game, thugger on the wood eat that jello like pudding, put this log in her life, no wood (yeah!) before i leave, i'ma make sure that she would (yeah!)  i won't be a pet (what?) no counseling, i'm gon' make it work i'll shoot but i ain't talkin' no bird i'm screaming flex, she screamin' flirt yeah, now she on me like a perc' my fuckin' weed smell like a turd (what?) i just made ten mil' off of merch ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2041,3294,Young Thug,Slime Season,Wanna Be Me,"please tell em they wanna be me somebody tell them they won't be me tell lil mama she wanna be me i pulled up, they wanna be i tried to tell them they won't be me, nigga i tell them they won't be me (tell them, tell them nigga) city know, city know they can't be me city know, city know they can't be me i fucked the bitch to be precise she cook the thugger corn and rice i fuck her fast, within the night i might pour a lot of pints, a lot of sprite, a lot of ice two cups stuffed, i need two cups stuffed ran them bands up, bitch i'm eating i'm getting bucks clean a bitch face with the nut, fuck a puff young thugger savage, thugger savage, thugger savage i'm a savage, i'm a fuck her like a savage she love my thing and then she following all my steps then she chase a nigga down like a rabbit i'm stupid flooded with them carrots i got some motherloving carrots ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2042,3312,Young Thug,BUSINESS IS BUSINESS,Parade on Cleveland (feat. Drake),"whoa  how the fuck you out here goin' tit-for-tat? i shoulda saw the signs, how could i miss that? ayy, soon as i'm fresh out the box like a tic-tac we havin' sex soon as i get my bitch back  it ain't gon' be sexy when i get my lick back i'm about to mop up some boys, it's custodian time me and my thoughts, is the loneliest time don't tell me 'bout loyalty, show me this time don't tell me 'bout loyalty, show me this time bidness is bidness, you owe me this time slime on your head, nickelodeon time  oh-whoa, parade on bleveland soon as i get home i'm comin' home, i'm comin' home all the dawgs, all the lifers all the pythons, all the vipers parade, parade on bleveland soon as i get home you already know, you already know ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2043,3313,Young Thug,BUSINESS IS BUSINESS,Money On The Dresser,"b- asked me for fame and i said no this b- asked me for fame and i said no i bought a rose gold rollie for the show 20 car keys, eeny-miny-moe  ayy, money on the dresser, drive a compressor (ayy) 24 heffers, put 'em on a tesla (ayy) cream soda vanilla, hot box whipper (skrrt) foreign car drifter, i'm so realer (ahh) superstar life, ain't goin' back to spinrilla (ahh) two-thousand, now we have the hoes on macarena (ahh) i'ma take a piss on the roof, i'm iller (ahh) hunnid-thousand dollars to the b- in the middle (ahh)  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2044,3314,Young Thug,BUSINESS IS BUSINESS,Gucci Grocery Bag,"gucci, pucci, gucci, gucci, pucci (gucci grocery bag) gucci, pucci, gucci, gucci, pucci gucci, pucci, gucci, gucci, pucci bag gucci, pucci, gucci, gucci, pucci (we straight)  gucci grocery bag (ayy), rockin' that gucci grocery bag (let's go) gucci grocery bag, rockin' a gucci grocery bag (get that) skeet off with a mask on (skrrt, skrrt-skrrt) i didn't have a choice but to skeet off with a mask on (skrrt)  yeah, yeah, i got a gucci grocery bag (ayy) gucci grocery bag (let's go) gucci grocery bag, rockin' a gucci grocery bag (yeah) i just skeeted off with a mask i just skeeted off with a mask on 'em (skrrt, skrrt, skrrt) ain't tryna f- with your daddy (uh-uh) i don't sin like a nasty boy (let's go)  i was in a jag', boy diamonds all colors like a f-, boy (phew) i was in a fast car, two-hundred dash with the dash, boy (brrt) i don't wanna clash, boy boy, you better not touch this shag, boy (let's go)  i was sippin' act', n- down bad (let's go) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2045,3315,Young Thug,BUSINESS IS BUSINESS,Cars Bring Me Out (feat. Future),"wheezy outta here yeah  woke up in a mansion silk dior pin stripe couch call the car man, he told me, meet him at the spot droppin' off some sh- you ain't got, ha now i'm out i done got so rich, i think my cars bring me out it ain't 'bout no thot, my cars bring me out bentley under the car port, sh- got rained out i done got so rich, i think my cars bring me out  i was chillin' at the spot on a bedside's couch i wasn't even gon' do nothin', don't care 'bout the sun out (yeah) f- you, lil' b-, don't let my car bring me out (yeah) i done got so rich, i think my car bring me out (yeah)  i done got so rich, i let a foreign bring me out (uh) f- her in the car and told her, ""least it cost a house"" (yeah) i done got so lit, i promise, i never see a drought (i promise) i don't know the time, i know my watch two-hundred thousand (two-hundred)  changin' up the climate, whenever you get through i'm ballin' (when you) change it up, my b- down, damn my old b- stalkin' i don't go outside without a rifle and a forty (pluto) takin' up the drip and the murder rate in georgia (yeah)  mr. have-his-way, turn a dime to a quarter (yeah) walkin' with a limp, i got racks all on me (yeah) probably in the royce with the stars in the sky ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2046,3316,Young Thug,BUSINESS IS BUSINESS,"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)","yeah, yeah, i'm in this b-, yeah, i'm back i hit the club on the up, he can come with the rack (uh, come with it, yeah) float 'round the town with a sack (woo, ha, ayy) you snatchin' my chain, i bet you i get that sh- back (ha, grrah) hey, i pull up and f- her cat (woo) i'm a big dawg, hit the store, get to blowin' them racks (ha, brr, just racks) i'm in a golf cart rockin' spider like that rich as f-, i don't know where he was at (woah) ran a doggy train and i didn't have a track (woah, hey, hey)  i say what i mean and i don't take it back with the waterfall on my wrist and my neck i ain't goin' soft, not a pimp in distress i'm a sex symbol, b- love me to death since november, i've been buyin' the stuff i don't do no rentin', i've been keepin' it tough she got four feelings, that's the coupe and the truck  shorty trippin', i ain't do nothin' to her (woo) all i did was turn up more women she know i'm jordan and scottie pippen (yeah) every album got no skippin' shorty bad, ain't have no chicken (why?) suburban, her toe pretty (ayy) you a nerd, i uphold the city (yeah) ain't no way and i told 'em to hit it (skrrt)  you get lost, hope you know the city better not get caught in the wrong trenches what's on your wrist, million? next week, it might be a zillion kanye let me borrow a billion mediterranean by a village (woo) i'm surrounded by cocktails and beautiful women to kick it with (woo)  yeah, yeah, i'm in this b-, yeah, i'm back (ah, slatt) i hit the club on the up, he can come with the racks (uh, come with it, yeah) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2047,3317,Young Thug,BUSINESS IS BUSINESS,Uncle M,"metro  ya dig?  i'm a bailer, same way i own a miller own the smell up, cooked the, uh, he tried to sell us you can pick up couple grand and a fill up peel the top back, we don' need no fucking peeler uncle murda, you can still get turned up in suburbans, came in six levels up i'm a flush, yellow xanny school bus on the island, damn near spent a million plus ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2048,3318,Young Thug,BUSINESS IS BUSINESS,Abracadabra (feat. Travis Scott),"abracadabra diamonds blinging, you can't see me like i'm casper (yeah) take these b- to four seasons and then we wrestle (woah, yeah) every motherf- season, i get better (woah, yeah) (woah, yeah) need a ladder 'cause my money in the nose bleed (yeah) all this gold on me looking like a trophy (yeah)  you from opp business, you don't know me (yeah) your b- riding my d- like she owe me (yeah, yeah) first l- i ever hit was for a rollie i put his nikes on my kids like a goalie she seen the drip and then let me hit like ginóbili and i been looking 'round the city since a shawty (woo) ha, ha (woo, woo) ha, ayy  mistress, mistress, tell me who my mistress is who the f- is the creator of the drip and sh-? got all these b- on my d- and yeah, they milkin' sh- niggas ain't doubled, doubled down 'cause we drippin' sh- just a diamond in the rough i got a bag, i'm not gon' tussle got sick and tired of showing my muscle i'm 'bout to take these n-  i'm making sure they missing um, listen, i was littin' she shut up and catch a drip-drip i got implants, not no fillings ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2049,3319,Young Thug,BUSINESS IS BUSINESS,Went Thru It,"when i was just hustling broke, didn't nobody see me through it word to my mother, knew it, but i still went through it snooze, then you lose, guess i snoozed 'cause i still went through it cried 'bout the bentley coupe, ooh, man, i still went through it now i wrap my millions up, wonder how he do it when i run my mills up, man, nobody see me do it last album deal up, labels tryna see me through it charlie put them m's up, n- thought he really blew it  now i keep a s on my chest, baby i saved the world in a dress, baby paranoid, them demons want my flesh badly fell in love with sipping the 'tech, baby i just wanna hustle the best, baby keep the money close, i don't trust, baby run up on me, told you i'ma bust, baby tryna keep me going when i n-, baby ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2050,3320,Young Thug,BUSINESS IS BUSINESS,Oh U Went (feat. Drake),"(metro)  ayy, you went flyin' bentley spur ayy, you went drivin' 'round the world ayy, you went brown like a squirrel ayy, you went chanel pearls ayy, you went rolls-royce car ayy, you went rolls-royce truck oh, you want war with all my hoes oh, you want to line it all up  ayy, i'ma play it how it is ayy, i been player for some years ayy, you tryna steal all the spill ayy, i'm in the field on a pill ayy, you wanna spill? then let's spill ayy, you not real, niggas is rolls-royce still uncle phil yeah, uh-uh, uh  oh, you went top off, oh, you went flintstones oh, you took the lil' rollie off, oh, you went big stones oh, you made two extra ms, oh, you went ringtones oh, you went train on that bitch, oh, you went, ""ding-dong"" oh, you went kingpin, oh, you went wings in oh, you went hands-on, oh, you ain't seen it? oh, you went demon, shootin' out the demon (man) oh, you had came in now, they were streamin'  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2051,3321,Young Thug,BUSINESS IS BUSINESS,Want Me Dead (feat. 21 Savage),"expect me, n-, like you expect jesus to come back expect me, n-, i'm comin'  your ex like pocahontas whatever happen, i'ma get money i'm a thriller n-, f- my conscience these foreign shoes, f- my bunions (okay) we done made a hundred bands on sunday and i ain't goin' to magic monday put the d- in her ass like crunches i came from shootin' cee-lo in the dungeon  i'm tired of makin' it rain, i'd much rather go buy me a plane (okay) i had to call 'em to stop up the sink (okay) whole lotta tried to go down the drain (ha, okay) first hundred thousand, i went made a strain i was ridin' behind gucci in a red mulsanne that was back in '09 before the fame came (okay) i had a check 'fore the rap check came (okay)  i put baguettes on this sh-, i just blanked i don't four-four, make the check houdini b-, you cheated, don't speak when you see me i'm in the turbo s, no gp i'm gettin' head from ch-, i meant cc my n- ain't even tryna hit sweetie (nah) that b- turn me off, no kizzy (no kizzy) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2052,3322,Young Thug,BUSINESS IS BUSINESS,Hellcat Kenny (feat. Lil Uzi Vert),"wake up, f1lthy (turn it up) yeah, turn it up, too much yeah  hellcat kenny, yeah, i'ma f- your b- (ah) demon child, i could get your mama rich (graah, graah) got no problem gettin' in yo sisters kid (bow, bow, bow) got no problem gettin' all yo' children lit (on god, yeah) hellcat kenny, this a f- jet (yeah) i been in the trenches givin' everything back (everything back)  you could ask my homies and my goddamn-damn all this muhf- money off my shows, off of the road (road) put these boys on spoke, for fifty, he gone broke (grrah) hellcat the folks, suck me out my clothes shawty came with force (force) f- lil' homie claimin'? keep that on the porch (ha) (yeah)  i just spent half a million dollars on the superbowl (no lie) i just bought a ring, cost a superbowl (goddamn) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2053,3323,Young Thug,BUSINESS IS BUSINESS,Mad Dog,"yeah (metro) metrothuggin, long overdue, no cap no bap, slatt i don't care none 'bout this superstardom shit that's on god  maserati, skrrt, mask off (skrrt, skrrt) throw some ten on, get so real (yeah) drink some mad dog (some mad dog) richer than i ever been (woo), i don't wanna know no cost (know no cost) i told my bitch if she don't win, then i'ma drop her off (know no ho) i knock her friend out the par, but it ain't top golf  i'm lovin' to pop off (i'm lovin' it) i put the sweat on the head (i put it, i put it) the seats are hot sauce (i put it, woo) spread a few racks and they mad (why?) yeah, i'm a top dog got two maybachs, the one with the lid (on god) and the one with the top off (on god)  now if you look up under my wrist, you'll see a bunch of racks (oh, oh, oh, oh, oh, oh, oh) got big baguettes on my neck and i got my hoochie bag (ski, let's go, let's go, let's get it) like donald trump on my account, i got my billions up (swear) first thing i did was make sure that my whole family up (yeah)  spotted a helicopter and i swerve up on the block (grrah, grrah, phew) this is a lambo' (woo), it just can go up to any shelf (skrrt) i'm never stoppin', and i keep a big old m tucked (on god) i showed her dr. miami, now she got her titties and her tummy tucked (dr. miami)  oh, oh, drink 'til we throw up woah, woah, let's go up on these drugs (woah) woah, woah, baby girl, i don't know her (woah) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2054,3324,Young Thug,BUSINESS IS BUSINESS,Jonesboro,"man, fuck that, fuck that (metro in this bitch goin' crazy) (yeah)  comin' out the jonesboro, south (ay) nigga havin' goals, all through it, mouthin' life time goals (woo), rented through the roof (wha'?) pullin' out the ghost (grah), make a nigga poof (grah) niggas talkin' shit, but what is it to do? i knew his big homie, nigga and i got the proof (woo) my spot is a army base and i got the proof send my bitch on vacay, put her in the coupe  change the channel, i don't wanna see none these pussy niggas (nah) i've been fucking niggas bitches and get plenty figures on the road to riches, ain't got the realest with us slaughter gang with me, nigga, nah, it's not a scissors  street nigga with a bunch of lives like a tiger (yeah) y'all niggas just a bunch of dykes fucking niggas ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2055,3325,Young Thug,BUSINESS IS BUSINESS,Hoodie (feat. BSlime & Lil Gotit),"(southside on the track, yeah) yeah, that's my buddy, buddy what about (metro)  that's my buddy, buddy, drinking on the muddy pass it all off to the dogs, let 'em cut it make sure you make her experience her nutty put that d- all in her ribs and her gutty drinking kid cudi, acting all sl- in front company, trayvon hoodie know it's all goodie don juan pimping, b-, it's black tees, hoodies durag business  looking all boogie, but saving all your cookies act to the right, red for the rookies a- on the right and on the left bunch of wealthy rich guys like ourselves, hey (yeah, like ourselves, hey)  and you was supposed to call me back but i'm glad you didn't 'cause i got busy i just got a call one of my brothers got whacked it was time to ride, slid the sticks and the masks you know if i pass, you won't get a call back and if i hit you back, you know we deaded the madness round of applause, we one of one in this battle  mama say she look in my eyes she see a casket ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2056,3326,Young Thug,BUSINESS IS BUSINESS,Global Access (feat. Nate Ruess),"they will try and lock you up drag your name right through the mud afraid of all that you'd become 'cause that's life here in america so they will try and keep your mouth shut take your words and twist them up afraid that you will change the world it's just life here in america (wheezy outta here)  it's really no way they can catch 'em he far gone, you gone need a couple jets lifts keep it real with niggas, yeah, the kid been passive global access, off a motherfucking ad-lib yeah, momma, i done made it, no more datpiff superspeed on the e-way, thе benz a cat, yeah (skrrt) i was caught up on somethin', but now i'm back, yеah i just almost had threw away like eleven years  psst, psst, ayy, my nigga, watch 'em driveby ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2057,3327,Young Thug,Punk,Die Slow (with Strick),"i gotta tell you that you'll die tonight you go against these people, you gon' die slow, die slow we out in italy on the water (slime, what's going on? it's feeling like they won) me and strick recordin' (gotta get back up, you a black panther's son) smokin' weed, smokin' dope (i gotta tell you that you'll die slow, die slow, die slow) drinkin' a lil' lean i actually did good, i ain't drink nothin' but a pint this whole tour yeah, on tour, i done missed my son's birthday it's, uh, july the 15th nah, i- i low-key, like, really see people ridin' past on boats right now out the window (die slow, die slow) it's just the-, just the penthouse suite, it's nothin'-, nothin' major, yeah  told the lawyer that my brother ain't goin' back to prison i don't give a fuck if i gotta turn that nigga jehovah witness i'm just seekin' for god's soul 'cause i know something's missin' comme des garçons boxers and i came from penny-pinchin' came out the struggle, nigga, i really had lost a brother, nigga got to fightin' with the deputy sheriff, i almost lost my mother, nigga  and that's funny, that's funny, like my mama had broke up with my dad for having another kid on her, and, um he had came home one day and he saw, um, a car in the driveway it was an off-duty sheriff- ahem ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2058,3328,Young Thug,Punk,Stressed (with J. Cole & T-Shyne),"got me stressed (oh, woah, woah, woah, woah) i don't wanna rest (oh, woah, woah, woah, woah) smoking cigarettes (oh, woah, woah, woah, woah) get it off my chest (oh, woah, woah, woah, woah) i don't wanna stress (woah) but i can't help it thinkin' if i lose the rest (oh, woah) and i can't help it, i don't wanna stress (oh, woah) but i can't help it, hey (oh, oh) no, no, no  rocky balboa, i'm boxin' with ya, hey i don't know if i wanna sock it to ya, hey i told her buy huaraches for me skeletons out the closet for me, hey  i don't know if i wanna expose this to you i don't know if i wanna caress you wonder what i wanna do with you, girl don't know what i wanna would do with you  well, it's that gap talk, pistol hold, nigga on your damn street pussy nigga usually pop a trigger if the hand speak lackluster, i'ma smack suckers this year i'ma make a hunnid thousand racks off of this shit do the math, hunnid million for the slow ones in the class type of bags i be gettin' be too big to pay in cash send it wide, send it fast, 'fore i might just change my mind ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2059,3329,Young Thug,Punk,Stupid/Asking,"metro! ooh, ooh, ooh, ooh yeah, ooh, ooh, ooh yeah yeah  heard you went and fucked my friend, is you stupid? heard you went and copped the benz, is you stupid? spendin' all your dividends, is you stupid? you must be stupid, you must be stupid you done went and fucked my friend, is you stupid? heard you went and copped the benz, is you stupid? spendin' all your dividends, is you stupid? you must be stupid, you must be stupid, hey  ooh, ooh, ooh ooh, wooh, ooh, ooh ooh, ooh, ooh ooh, ooh  i've been swappin' out all these bitches kickin' my pimpin', pimpin' she pull up and get right to it, she know my intuition i talk loud as hell to this bitch i don't do no pillow kickin' richie millie kid, i'm so embarrassеd, i ain't done no tickin' oh, won't go, oh my god, i just seen a ufo (ha) five hundred thousand for thе car, 50 thou' for the coat hangin' with some blood, crip, been with a couple folk she like, ""what you doin'? you fuckin' her, i knew it, nigga""  why you fucked my friend, is you stupid? heard you went and copped the benz, is you stupid? manipulatin' all my friends, is you stupid? is you stupid? you must be stupid, hey you fucked my friend, is you stupid? you bought that g63 benz, is you stupid? you spendin' all your racks again, is you stupid? is you stupid, hey, is you stupid?  passionate about your motherfuckin' lovin', i get strange when it come down to you lovin' me you love me, back what you 'posed to say to love to falsetto-re-me that's when the cops come by, nigga ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2060,3330,Young Thug,Punk,Recognize Real (with Gunna),"had to gamble my life, i'm rollin' the dice money ain't got a price, but talk to me nice i got my money right, you know they criticize but it's alright, i won't be victimized judge and the police takin' my people's lives i'm just signin' checks and doin' what's best for mine and i ain't gotta do too much 'cause real gon' recognize (yeah, yeah, yeah, yeah-yeah)  it's written on your face, like you better than me i can't get caught up with you bitches, i'm keeping it p you gotta keep it p our millennium is the last dying breed (oh yeah, oh yeah)  louis on me, my arms strong and you too skinny and scrawny you tellin' lies, and i can't fuck with you only i tear you up and you gon' never be lonely (yeah) i want a rolls royce, i want a maybach  ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2061,3331,Young Thug,Punk,Contagious,"i wish that keepin' it real really was contagious  i wish that keepin' it real really was contagious 'cause i'd be showing off, always met with fake shit but that's what's in my heart, i can never change it i just wish that things were reciprocating  i told my lawyer, ""change the situation"" told the judge that i was always fakin' but i know it's in my heart and i feel it breakin' told him, ""let go of my boys, that would be amazing""  try to blink out every time, i'm hidden in different spaces bought the same laferrari and told 'em, ""keep it basic"" ""put up on them same lil' boys"", told them, ""let's get it racing"" she don't need know what it is, now boy my money weighin'  yeah, keep on dodgin' years, my young nigga waitin' i done gave away my porsche, i throw up i don't pass the torch, i pour up syrup, when i'm forced, i ho' up out and in, i reck her core ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2062,3332,Young Thug,Punk,Peepin Out The Window (with Future & Bslime),"yeah, yeah, yeah (yeah) peepin' out the window, peepin' out the window peepin' out the window, peepin' out the window  peepin' out the window, yeah (yeah) all i see is a bunch of opps tryna rise from the dead wanna smoke me like i'm indo, oh all i see is a bunch of broke ass bitches tryna tell me i ain't poppin' i ain't hot no more  well, listen to me closely bitch, i got a rollie, it's gold like a trophy all of my kids straight, if you truly know me most of my dawgs bossed up  i doubled up, i don't do no chores no more i ain't steppin' on these niggas like no rugs no more find myself carin' way too much, ain't got no shrubs no more but got way bigger shows i ain't chargin' dubs no more  i charge a half a million dollars just to walk out i hate the police, but i'm big, so they brought cops out i got a gun, shoot the same times, but it's fun-sized sign on a dotted lines  one time for the ones saw me come from nothing speakin' of nothing, pussy niggas know not to play i ain't goin' for nothing (yeah)  peepin' out the window (yeah) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
2063,3333,Young Thug,Punk,Rich Nigga Shit (with Juice WRLD),"juicy (yo) nav-y yo pi'erre, wanna come out here? (ayy)  rich nigga shit, calamari (ow) i done pump faked on a split, i'm so sorry 1996 benz, tyler perry 1996 rims like atari (ayy, ayy) brown diamonds on, bitch, i'm nessly i don't play the radio, i'm not gretzky chicken bock-bock like a nest king i keep wockhardt on my belly (yeah)  i just spent your salary walked inside of the exhibit and bought the gallery (uh, uh-huh) i'm so wealthy, i done bought out on my cavities (uh-huh) havin' sex with your old lady, i lost calories (uh-huh) rich shit, i'm playin' louis ping-pong with my bestie (uh) made a tv show with some lesbians (uh-huh) like the tv show, i done next'ed (uh) g-star, pull your thorns out your carat bought my dawg a new kennel, it's a palace hunnid fortune, and the winners wanna bash me (slatt, slatt, slatt) ...  ******* this lyrics is not for commercial use ******* (1409624953635)"
